School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 58 - QUEENS,Q,24,PARAPETS / ROOFS,5089694,CIP,Q058,72-24 GRAND AVENUE,Queens,11378,QUEENS,40.728735,-73.890699,405,30,4607309,4028020001,49302,QN0501,"(40.728735, -73.890699)"
FOREST HILLS HS - QUEENS,Q,28,HVAC CHILLER COOLING SYSTEM REPLACEMENT,1877000,CIP,Q440,67-01 110 STREET,Queens,11375,QUEENS,40.729402,-73.845637,406,29,4052143,4021890002,747,QN0602,"(40.729402, -73.845637)"
P.S. 146 - QUEENS,Q,27,IPDVS INSTALLATIONS,450000,CIP,Q146,98-01 159 AVENUE,Queens,11414,QUEENS,40.659873,-73.835068,410,32,4295163,4141680016,884,QN1003,"(40.659873, -73.835068)"
P.S. 159 - QUEENS,Q,26,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,14574000,CIP,Q159,205-01 33 AVENUE,Queens,11361,QUEENS,40.76936,-73.783943,411,19,4134525,4060380013,1099,QN1101,"(40.76936, -73.783943)"
FAIRMONT NEIGHBORHOOD SCHOOL,X,12,IPDVS CAMERA INSTALLATION,763000,CIP,X050,1550 VYSE AVENUE,Bronx,10460,BRONX,40.834157,-73.887512,203,17,2010786,2029960010,157,BX0303,"(40.834157, -73.887512)"
P.S. 132 - MANHATTAN,M,6,ELECTRICAL WORK FOR A/C INITIATIVE,57415,CIP,M132,185 WADSWORTH AVENUE,Manhattan,10033,MANHATTAN,40.850626,-73.934377,112,10,1063947,1021650026,271,MN1202,"(40.850626, -73.934377)"
IT TAKES A VILLAGE ACADEMY - K,K,18,SWIMMING POOL,23500000,CIP,K415,5800 TILDEN AVENUE,Brooklyn,11203,BROOKLYN,40.648657,-73.922171,317,45,3104598,3047420001,936,BK1703,"(40.648657, -73.922171)"
SCHOOL FOR TOURISM AND HOSPITALITY - BRONX,X,8,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,3934000,CIP,X650,900 TINTON AVENUE,Bronx,10456,BRONX,40.821675,-73.903546,203,17,2004807,2026680001,133,BX0301,"(40.821675, -73.903546)"
P.S. 14 - QUEENS,Q,24,FY20 RESO A  PATH OF TRAVEL SOCCER PITCH / FY20 RESO A SOCCER PITCH,533000,CIP,Q014,107-01 OTIS AVENUE,Queens,11368,QUEENS,40.74056,-73.854131,404,21,4437311,4019540037,439,QN0402,"(40.74056, -73.854131)"
P.S. 361 - MANHATTAN,M,1,WATER INFILTRATION IN ELECTRICAL ROOM,2262193,CIP,M061,610 EAST 12 STREET,Manhattan,10009,MANHATTAN,40.727892,-73.978525,103,2,1079053,1003940012,28,MN0303,"(40.727892, -73.978525)"
CURIOUS YOUNG LEARNERS PRE-K CENTER,Q,27,PLAYGROUND REDEVELOPMENT,437000,CIP,Q477,87-40 88 STREET,Queens,11421,QUEENS,40.692032,-73.856091,409,32,4438404,4089250026,16,QN0905,"(40.692032, -73.856091)"
P.S. 28 - QUEENS,Q,24,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,2130000,CIP,Q028,109-10 47TH AVENUE,Queens,11368,QUEENS,40.747126,-73.854824,404,21,4529578,4020030023,415,QN0402,"(40.747126, -73.854824)"
I.S. 447 - BRONX,X,10,FY19 RESO A IPDVS CAMERA INSTALLATION,222500,CIP,X079,125 EAST 181 STREET,Bronx,10453,BRONX,40.854872,-73.903458,205,14,2013849,2031700001,23704,BX0503,"(40.854872, -73.903458)"
HS FOR HEALTH PROF & HUMAN SERV-M,M,2,LOW-VOLTAGE ELECTRICAL SYSTEM / RPZ BACKFLOW PREVENTION DEVICES,3126000,CIP,M475,345 EAST 15 STREET,Manhattan,10003,MANHATTAN,40.732447,-73.983031,106,2,1020419,1009220008,48,MN0602,"(40.732447, -73.983031)"
Q075 SPED - QUEENS,Q,24,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,8727500,CIP,Q075,16-66 HANCOCK STREET,Queens,11385,QUEENS,40.698476,-73.905556,405,34,4085584,4035490044,553,QN0502,"(40.698476, -73.905556)"
P.S. 129 - MANHATTAN,M,5,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,29717000,CIP,M129,425 WEST 130 STREET,Manhattan,10027,MANHATTAN,40.814637,-73.951912,109,9,1059407,1019570010,21703,MN0902,"(40.814637, -73.951912)"
P.S. 18 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3442549,CIP,R018,221 BROADWAY,Staten Island,10310,STATEN IS,40.636587,-74.117509,501,49,5004877,5001760010,105,SI0104,"(40.636587, -74.117509)"
