School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
STUYVESANT HS - MANHATTAN,M,2,BMS UPGRADE / COOLING TOWER REPLACEMENT / LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION,11156000,CIP,M477,345 CHAMBERS STREET,Manhattan,10282,MANHATTAN,40.7177,-74.01399,101,1,1084587,1000160215,31703,MN0101,"(40.7177, -74.01399)"
P.S. 96 - QUEENS,Q,27,EXISTING BUILDING RENOVATION WORK / EXISTING BUILDING-AUDITORIUM / EXISTING BUILDING-CAFETERIA,6006920,CIP,Q096,130-17 ROCKAWAY BOULEVARD,Queens,11420,QUEENS,40.674977,-73.808245,410,28,4000000,4116940027,180,QN1001,"(40.674977, -73.808245)"
BERGTRAUM HS - MANHATTAN,M,2,LSP- LIGHTING UPGRADE,209800,CIP,M520,411 PEARL STREET,Manhattan,10038,MANHATTAN,40.711442,-74.000851,101,1,1001388,1001130100,2901,MN0102,"(40.711442, -74.000851)"
P.S. 220 - QUEENS,Q,28,FLOOD ELIMINATION / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6120000,CIP,Q220,62-10 108 STREET,Queens,11375,QUEENS,40.736524,-73.851455,406,24,4051290,4021430001,745,QN0602,"(40.736524, -73.851455)"
THE HARBOR VIEW SCHOOL - R,R,31,FY22 RESO A (MA) PLAYGROUND UPGRADE,275000,CIP,R059,300 RICHMOND TERRACE,Staten Island,10301,STATEN IS,40.64789,-74.083406,501,49,5000126,5000140032,7,SI0101,"(40.64789, -74.083406)"
I.S. 2 - BROOKLYN,K,17,CLIMATE CONTROL / CONDENSING UNITS DX COILS REPLACEMENT / EXTERIOR MASONRY / LOW-VOLTAGE ELECTRICAL SYSTEM / PARAPETS / ROOFS / VENTILATION,12555000,CIP,K002,655 PARKSIDE AVENUE,Brooklyn,11226,BROOKLYN,40.656183,-73.951583,309,40,3378201,3050500051,802,BK0902,"(40.656183, -73.951583)"
P.S. 180 - BROOKLYN,K,20,EXTERIOR MASONRY / FLOOD ELIMINATION / FULL PROGRAM ACCESSIBILITY,22935000,CIP,K180,5601 16 AVENUE,Brooklyn,11204,BROOKLYN,40.627029,-73.989672,312,44,3130809,3054920001,470,BK1202,"(40.627029, -73.989672)"
P.S. 186 - QUEENS,Q,26,EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,12200000,CIP,Q186,252-12 72 AVENUE,Queens,11426,QUEENS,40.750007,-73.721607,413,23,4173640,4084010375,155103,QN1301,"(40.750007, -73.721607)"
P.S. 239 - QUEENS,Q,24,LSP DOMESTIC WATER HEATER,165984.08,CIP,Q239,17-15 WEIRFIELD STREET,Queens,11385,QUEENS,40.699149,-73.903799,405,34,4435561,4035610001,553,QN0502,"(40.699149, -73.903799)"
K036 SPED - BROOKLYN,K,19,IPDVS INSTALLATIONS,404599,CIP,K857,2045 LINDEN BOULEVARD,Brooklyn,11207,BROOKLYN,40.660134,-73.887023,305,42,3097429,3043270024,1104,BK0503,"(40.660134, -73.887023)"
P.S. 199 - BROOKLYN,K,21,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,13572000,CIP,K199,1100 ELM AVENUE,Brooklyn,11230,BROOKLYN,40.616632,-73.963476,314,44,3180761,3067400025,768,BK1403,"(40.616632, -73.963476)"
K721 SPED - BROOKLYN,K,21,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,4299786,CIP,K722,64 AVENUE X,Brooklyn,11223,BROOKLYN,40.589317,-73.98131,313,47,3385667,3071850020,308,BK1301,"(40.589317, -73.98131)"
FIORELLO LAGUARDIA HS - MANHATTAN,M,3,FIRE SPRINKLER SYSTEM / RPZ BACKFLOW PREVENTION DEVICES,1997798,CIP,M485,100 AMSTERDAM AVENUE,Manhattan,10023,MANHATTAN,40.773629,-73.985273,107,6,1030341,1011560030,15101,MN0701,"(40.773629, -73.985273)"
P.S. 23 - BROOKLYN,K,14,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,5970000,CIP,K023,545 WILLOUGHBY AVENUE,Brooklyn,11206,BROOKLYN,40.69407,-73.94756,303,36,3048818,3017590013,25901,BK0301,"(40.69407, -73.94756)"
I.S. 529 - BRONX,X,11,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,115999,CIP,X142,3750 BAYCHESTER AVENUE,Bronx,10466,BRONX,40.884953,-73.840524,212,12,2066190,2049350001,48402,BX1202,"(40.884953, -73.840524)"
P.S. 134 - QUEENS,Q,29,LSP- DOMESTIC HOT WATER HEATER,33744.76,CIP,Q134,203-02 109TH AVENUE,Queens,11412,QUEENS,40.70799,-73.755269,412,27,4440330,4109060001,508,QN1206,"(40.70799, -73.755269)"
P.S. 114 - BRONX,X,9,IPDVS CAMERA INSTALLATION,476800,CIP,X114,1155 CROMWELL AVENUE,Bronx,10452,BRONX,40.834776,-73.923067,204,16,2003022,2024950100,6302,BX0491,"(40.834776, -73.923067)"
I.S. 227 - QUEENS,Q,30,FY19 RESO A AUDITORIUM UPGRADE,1665000,CIP,Q227,32-02 JUNCTION BOULEVARD,Queens,11369,QUEENS,40.758408,-73.874472,403,21,4034891,4014230001,353,QN0302,"(40.758408, -73.874472)"
I.S. 129 - BRONX,X,12,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,9220000,CIP,X129,2055 MAPES AVENUE,Bronx,10460,BRONX,40.845878,-73.886184,206,15,2012957,2031090001,371,BX0602,"(40.845878, -73.886184)"
BROOKLYN TECH HS - K,K,13,EXTERIOR MASONRY / PARAPETS / PAVED AREAS CONCRETE / ROOFS / WINDOWS,23760000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,BROOKLYN,40.688834,-73.976905,302,35,3058752,3020980013,33,BK0203,"(40.688834, -73.976905)"
I.S. 24 - STATEN ISLAND,R,31,FLOOD ELIMINATION / GYM ROOF,2490500,CIP,R024,750 DURANT AVENUE,Staten Island,10308,STATEN IS,40.546081,-74.14584,503,51,5065854,5051530108,13203,SI0302,"(40.546081, -74.14584)"
P.S. 11 - BRONX,X,9,EXTERIOR DOORS / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / SECURITY LIGHTING / WINDOWS,12733000,CIP,X011,1257 OGDEN AVENUE,Bronx,10452,BRONX,40.839378,-73.925714,204,16,2003519,2025290081,201,BX0402,"(40.839378, -73.925714)"
P.S. 78 - QUEENS,Q,30,IPDVS INSTALLATIONS,319111,CIP,Q868,48-09 CENTER BOULEVARD,Queens,11109,QUEENS,40.744753,-73.957971,402,26,4000019,4000180001,101,QN0201,"(40.744753, -73.957971)"
THE QUEENS SCHOOL OF INQUIRY-Q,Q,25,PA SYSTEM REPLACEMENT,718000,CIP,Q168,158-40 76 ROAD,Queens,11366,QUEENS,40.724458,-73.810216,408,24,4147847,4068260001,1257,QN0802,"(40.724458, -73.810216)"
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,X,11,FY20 RESO A ROOM CONVERSION,283000,CIP,X189,3441 STEENWICK AVENUE,Bronx,10475,BRONX,40.883025,-73.830366,212,12,2124548,2052630192,46209,BX1202,"(40.883025, -73.830366)"
AUGUST MARTIN HS - QUEENS,Q,27,LL 26-EXIT SIGNS / LL 41/16 COMPLIANCE (004961) / LL 41/16 COMPLIANCE (004964) / LL 41/16 COMPLIANCE (004966) / LL 41/16 COMPLIANCE (004967) / LL 41/16 COMPLIANCE (004968) / LL 41/16 COMPLIANCE (004969) / LL 41/16 COMPLIANCE (004970) / LL 41/16 COMPLIANC,1798106.71,CIP,Q400,156-10 BAISLEY BOULEVARD,Queens,11434,QUEENS,40.675633,-73.783342,412,28,4265978,4122610001,294,QN1204,"(40.675633, -73.783342)"
SCHOOL FOR ENVIR CITIZEN - BRONX,X,10,FY21 RESO A ROOM CONVERSION / FY21 RESO A SUPPLEMENTAL COOLING,1073000,CIP,X079,125 EAST 181 STREET,Bronx,10453,BRONX,40.854872,-73.903458,205,14,2013849,2031700001,23704,BX0503,"(40.854872, -73.903458)"
P.S. 203 - QUEENS,Q,26,WINDOWS,3880000,CIP,Q203,53-11 SPRINGFIELD BOULEVARD,Queens,11364,QUEENS,40.754201,-73.760636,411,23,4161005,4074820317,138501,QN1102,"(40.754201, -73.760636)"
P.S. 111 - BRONX,X,11,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,5972000,CIP,X111,3740 BAYCHESTER AVENUE,Bronx,10466,BRONX,40.884343,-73.840254,212,12,2065992,2049160001,48401,BX1202,"(40.884343, -73.840254)"
P.S. 861 - STATEN ISLAND,R,31,FY21 RESO A PLAYGROUND UPGRADE,238451,CIP,R861,280 REGIS DRIVE,Staten Island,10314,STATEN IS,40.620676,-74.164277,501,49,5032481,5016530001,30301,SI0107,"(40.620676, -74.164277)"
P.S. 503 - BROOKLYN,K,20,LSP FY16 RESO A EXTERIOR PLAYGROUND LIGHTING,198825,CIP,K314,330 59 STREET,Brooklyn,11220,BROOKLYN,40.642121,-74.018997,307,38,3016258,3008620012,74,BK0702,"(40.642121, -74.018997)"
P.S. 251 - BROOKLYN,K,22,ELECTRICAL WORK FOR A/C INITIATIVE,7216,CIP,K251,1037 EAST 54 STREET,Brooklyn,11234,BROOKLYN,40.632524,-73.924417,318,45,3214729,3077580001,722,BK1801,"(40.632524, -73.924417)"
BRONX HS FOR THE VISUAL ARTS - BRONX,X,11,STANDALONE GYM ANNEX,21866000,CIP,X482,2030 ANTIN PLACE,Bronx,10462,BRONX,40.851285,-73.865184,211,13,2000000,2042900032,228,BX1101,"(40.851285, -73.865184)"
GROVER CLEVELAND HS - QUEENS,Q,24,LSP DOMESTIC WATER HEATER,12764.41,CIP,Q485,21-27 HIMROD STREET,Queens,11385,QUEENS,40.711033,-73.908814,405,30,4080227,4033630001,59501,QN0502,"(40.711033, -73.908814)"
H.S. 745 - BROOKLYN,K,17,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS,38279000,CIP,K470,600 KINGSTON AVENUE,Brooklyn,11203,BROOKLYN,40.658893,-73.942458,309,40,3107227,3048110001,810,BK0902,"(40.658893, -73.942458)"
P.S. 41 - QUEENS,Q,26,Demo,1007272,CAP,Q041,34-06 214 LANE,Queens,11361,QUEENS,40.769875,-73.770692,411,19,4135975,4061210001,1093,QN1102,"(40.769875, -73.770692)"
P.S. 196 - QUEENS,Q,28,Addition,34522000,CAP,Q196,71-25 113 STREET,Queens,11375,QUEENS,40.722782,-73.837946,406,29,4052713,4022480100,75702,QN0602,"(40.722782, -73.837946)"
P.S. 29 - QUEENS,Q,25,LSP DOMESTIC WATER HEATER REPLACEMENT,124691.03,CIP,Q029,125-10 23 AVENUE,Queens,11356,QUEENS,40.778601,-73.843187,407,19,4099925,4042290014,907,QN0701,"(40.778601, -73.843187)"
BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),K,13,RPZ BACKFLOW PREVENTION DEVICES,449000,CIP,K117,300 WILLOUGHBY AVENUE,Brooklyn,11205,BROOKLYN,40.692642,-73.958794,303,33,3055165,3019260010,235,BK0301,"(40.692642, -73.958794)"
P.S. 92 - QUEENS,Q,30,ROOFS,3943675,CIP,Q292,99-01 34TH AVENUE,Queens,11368,QUEENS,40.755418,-73.869017,403,21,4042496,4017140018,377,QN0303,"(40.755418, -73.869017)"
M811 SPED - MANHATTAN,M,3,ROOFS,5635838,CIP,M841,466 WEST END AVENUE,Manhattan,10024,MANHATTAN,40.786611,-73.97951,107,6,1032754,1012300001,171,MN0702,"(40.786611, -73.97951)"
SALVATION ARMY SUTTER DAY CARE,K,23,ACS EARLY LEARN LEASE IMPROVEMENT,677000,CIP,KBDD,20 SUTTER AVENUE,Brooklyn,11212,BROOKLYN,40.665361,-73.922177,316,41,3081165,3035310023,900,BK1602,"(40.665361, -73.922177)"
P.S. 307 - BROOKLYN,K,13,RENOVATION OF CLASSROOM 332,255965,CIP,K307,209 YORK STREET,Brooklyn,11201,BROOKLYN,40.701343,-73.982314,302,33,3000158,3000560007,21,BK0202,"(40.701343, -73.982314)"
ANNEX @ 57 CLEVELAND PLACE - STATEN ISLAND,R,31,Demo,9498000,CAP,R126,57 CLEVELAND PLACE,Staten Is,10305,STATEN IS,40.602182,-74.068818,502,50,5108458,5030870001,2002,SI0201,"(40.602182, -74.068818)"
P.S. 57 - MANHATTAN,M,4,FULL PROGRAM ACCESSIBILITY,12461000,CIP,M057,176 EAST 115 STREET,Manhattan,10029,MANHATTAN,40.797577,-73.94128,111,8,1083184,1016400139,182,MN1102,"(40.797577, -73.94128)"
P.S. 169 - BROOKLYN,K,15,EXTERIOR MASONRY / PARAPETS / ROOF REPLACEMENT / WINDOWS,14790025,CIP,K169,4305 7 AVENUE,Brooklyn,11232,BROOKLYN,40.64629,-74.001903,307,38,3011002,3007320001,9201,BK0703,"(40.64629, -74.001903)"
LOWER EAST SIDE PREP HS - M,M,1,EXTERIOR MASONRY / PARAPETS / REINFORCING SUPPORT ELEMENTS / ROOFS,11100000,CIP,M025,145 STANTON STREET,Manhattan,10002,MANHATTAN,40.720581,-73.985645,103,1,1004323,1003540080,3001,MN0302,"(40.720581, -73.985645)"
P.S. 122 - QUEENS,Q,30,FY16 RESO A SOLAR PANELS,989000,CIP,Q122,21-21 DITMARS BOULEVARD,Queens,11105,QUEENS,40.780347,-73.916655,401,22,4019633,4008800001,103,QN0101,"(40.780347, -73.916655)"
P.S. 63 - QUEENS,Q,27,RTU REPLACEMENT,1987000,CIP,Q063,90-15 SUTTER AVENUE,Queens,11417,QUEENS,40.67641,-73.846773,410,32,4190727,4091550025,54,QN1002,"(40.67641, -73.846773)"
I.S. 839 - MANHATTAN,M,1,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,10550000,CIP,M064,600 EAST 6 STREET,Manhattan,10009,MANHATTAN,40.724435,-73.981521,103,2,1004627,1003870001,2601,MN0303,"(40.724435, -73.981521)"
P.S. 277 - BROOKLYN,K,22,FY18 RESO A SCIENCE LAB UPGRADES,277000,CIP,K277,2529 GERRITSEN AVENUE,Brooklyn,11229,BROOKLYN,40.596145,-73.928793,318,46,3242369,3085900650,666,BK1891,"(40.596145, -73.928793)"
J.H.S. 216 - QUEENS,Q,26,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6000761,CIP,Q216,64-20 175 STREET,Queens,11365,QUEENS,40.737517,-73.794031,408,24,4149078,4069030001,1341,QN0803,"(40.737517, -73.794031)"
P.S./I.S. @ 3761 10 AVENUE - MANHATTAN,M,6,New,101843000,CAP,M502,3761 10 AVENUE,Manhattan,10034,MANHATTAN,40.860962,-73.921475,112,10,1000000,1021980001,299,MN1203,"(40.860962, -73.921475)"
P.S. 84 - BROOKLYN,K,14,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,6230000,CIP,K084,250 BERRY STREET,Brooklyn,11249,BROOKLYN,40.714785,-73.963,301,34,3062766,3023910001,551,BK0102,"(40.714785, -73.963)"
P.S. 127 - BROOKLYN,K,20,EXTERIOR MASONRY / PARAPETS / PHASE 3 VOLUNTARY ADA/ROOM CONVERSION WORK / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / WINDOWS,25625000,CIP,K127,922 78 STREET,Brooklyn,11228,BROOKLYN,40.623762,-74.017799,310,38,3150481,3059730001,206,BK1002,"(40.623762, -74.017799)"
P.S./I.S. 266 - QUEENS,Q,26,LSP HOT WATER HEATER,74000,CIP,Q266,74-10 COMMONWEALTH BOULEVARD,Queens,11426,QUEENS,40.746231,-73.727614,413,23,4529900,4078700074,1567,QN1302,"(40.746231, -73.727614)"
P.S. 150 - QUEENS,Q,30,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS,8888000,CIP,Q150,40-01 43 AVENUE,Queens,11104,QUEENS,40.745537,-73.923776,402,26,4002387,4001850001,18101,QN0202,"(40.745537, -73.923776)"
P.S. 116 - QUEENS,Q,29,Addition,59387029,CAP,Q116,107-25 WREN PLACE,Queens,11433,QUEENS,40.700606,-73.782302,412,27,4218416,4102500001,414,QN1202,"(40.700606, -73.782302)"
P.S. 10 - BROOKLYN,K,15,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,16664000,CIP,K010,511 7 AVENUE,Brooklyn,11215,BROOKLYN,40.661061,-73.986534,307,39,3016509,3008690001,14902,BK0701,"(40.661061, -73.986534)"
P.S. 39 - STATEN ISLAND,R,31,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,3347318,CIP,R039,99 MACFARLAND AVENUE,Staten Island,10305,STATEN IS,40.597653,-74.070052,502,50,5045488,5030970014,2002,SI0201,"(40.597653, -74.070052)"
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,M,5,COVID VENTILATION,159264,CIP,M136,6 EDGECOMBE AVENUE,Manhattan,10030,MANHATTAN,40.817372,-73.947712,110,9,1059460,1019600001,22102,MN1002,"(40.817372, -73.947712)"
P.S. 209 - BROOKLYN,K,21,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,24160000,CIP,K209,2609 EAST 7TH STREET,Brooklyn,11235,BROOKLYN,40.586845,-73.96198,313,48,3196224,3072440001,370,BK1301,"(40.586845, -73.96198)"
NEWTOWN HS - QUEENS,Q,24,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,1180000,CIP,Q455,48-01 90 STREET,Queens,11373,QUEENS,40.741122,-73.874721,404,25,4045629,4018490001,461,QN0401,"(40.741122, -73.874721)"
THURGOOD MARSHALL ACADEMY - MANHATTAN,M,5,IPDVS INSTALLATIONS,697000,CIP,M970,200-214 WEST 135 STREET,Manhattan,10030,MANHATTAN,40.815449,-73.944061,110,9,1058843,1019400035,228,MN1002,"(40.815449, -73.944061)"
P.S. 166 - MANHATTAN,M,3,MASONRY / PARAPETS / ROOFS / WINDOWS,19337000,CIP,M166,132 WEST 89 STREET,Manhattan,10024,MANHATTAN,40.788865,-73.971847,107,6,1032308,1012190047,173,MN0702,"(40.788865, -73.971847)"
P.S. 95 - BRONX,X,10,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,76000,CIP,X095,3961 HILLMAN AVENUE,Bronx,10463,BRONX,40.882898,-73.891256,208,11,2015472,2032520182,281,BX0801,"(40.882898, -73.891256)"
I.S. 239 - BROOKLYN,K,21,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,27000000,CIP,K239,2401 NEPTUNE AVENUE,Brooklyn,11224,BROOKLYN,40.578188,-73.99203,313,47,3188221,3069650140,330,BK1302,"(40.578188, -73.99203)"
SCHOOL OF THE FUTURE BROOKLYN,K,19,FY20 RESO A LIBRARY UPGRADE,40000,CIP,K174,574 DUMONT AVENUE,Brooklyn,11207,BROOKLYN,40.665798,-73.897723,305,42,3084617,3038020015,1130,BK0503,"(40.665798, -73.897723)"
CLARA BARTON HS - K,K,17,IPDVS CAMERA INSTALLATION,395000,CIP,K600,901 CLASSON AVENUE,Brooklyn,11225,BROOKLYN,40.669567,-73.961962,309,35,3029702,3011880001,213,BK0901,"(40.669567, -73.961962)"
3K CENTER @ 10 ELM STREET - STATEN ISLAND,R,31,Lease,9188000,CAP,R074,10 ELM STREET,Staten Is,10310,STATEN IS,40.641761,-74.114913,501,49,5168587,5001580006,9701,SI0104,"(40.641761, -74.114913)"
I.S. 59 - QUEENS,Q,29,EXTERIOR MASONRY / PARAPETS / ROOFS,9642800,CIP,Q059,132-55 RIDGEDALE STREET,Queens,11413,QUEENS,40.68173,-73.753429,412,27,4274083,4127230076,352,QN1205,"(40.68173, -73.753429)"
THOMAS A. EDISON HS - Q,Q,28,STRUCTURAL REPAIR OF Q620 GYM,621000,CIP,Q620,165-65 84 AVENUE,Queens,11432,QUEENS,40.715389,-73.800369,408,24,4211027,4098670002,452,QN0805,"(40.715389, -73.800369)"
M.S. 282 - QUEENS,Q,27,LSP- DOMESTIC WATER HEATER,141664.07,CIP,Q465,8-21 BAY 25 STREET,Queens,11691,QUEENS,40.60201,-73.762795,414,31,4300730,4157360001,100804,QN1401,"(40.60201, -73.762795)"
M079 SPED - MANHATTAN,M,5,IPDVS INSTALLATIONS,385048.3,CIP,M079,55 EAST 120 STREET,Manhattan,10035,MANHATTAN,40.802419,-73.942634,111,9,1053968,1017470001,198,MN1102,"(40.802419, -73.942634)"
P.S. 17 - BROOKLYN,K,14,CERTIFICATE OF OCCUPANCY / FIRE ALARM SYSTEM REPLACEMENT,17518000,CIP,K017,208 NORTH 5 STREET,Brooklyn,11211,BROOKLYN,40.715351,-73.956716,301,34,3062337,3023450001,519,BK0102,"(40.715351, -73.956716)"
IT TAKES A VILLAGE ACADEMY - K,K,18,FY21 RESO A AUDITORIUM UPGRADE,80000,CIP,K415,5800 TILDEN AVENUE,Brooklyn,11203,BROOKLYN,40.648657,-73.922171,317,45,3104598,3047420001,936,BK1703,"(40.648657, -73.922171)"
P.S. 98 - QUEENS,Q,26,FLOOD ELIMINATION,547000,CIP,Q098,40-20 235 STREET,Queens,11363,QUEENS,40.769271,-73.749369,411,19,4168629,4080820285,1483,QN1103,"(40.769271, -73.749369)"
P.S. 19 - QUEENS,Q,24,FY20 RESO A AUDITORIUM UPGRADE / FY20 RESO A PATH OF TRAVEL AUDITORIUM UPGRADE,1617000,CIP,Q019,40-10 99TH STREET,Queens,11368,QUEENS,40.749108,-73.866362,404,21,4607476,4016070001,40901,QN0402,"(40.749108, -73.866362)"
HS FOR HEALTH CAREER & SCIENCE - M,M,6,WATER MAIN- BACKFLOW ISSUE,890000,CIP,M465,549 AUDUBON AVENUE,Manhattan,10040,MANHATTAN,40.855855,-73.92712,112,10,1076751,1021600018,277,MN1202,"(40.855855, -73.92712)"
BENJAMIN N. CARDOZO HS - QUEENS,Q,26,AUDITORIUM CEILING,2445000,CIP,Q415,57-00 223 STREET,Queens,11364,QUEENS,40.752333,-73.75599,411,23,4161735,4075290001,138501,QN1102,"(40.752333, -73.75599)"
Q256 SPED - QUEENS,Q,27,PHASE III  WORK- DEMO AND PLAYGROUND REDEVELOPMENT,7275970,CIP,Q816,445 BEACH 135 STREET,Queens,11694,QUEENS,40.577026,-73.854539,414,32,4305631,4162580006,928,QN1403,"(40.577026, -73.854539)"
I.S. 131 - MANHATTAN,M,2,LSP DANCE FLOOR REPLACEMENT,91150,CIP,M131,100 HESTER STREET,Manhattan,10002,MANHATTAN,40.716553,-73.993092,103,1,1082489,1003010003,16,MN0301,"(40.716553, -73.993092)"
P.S. 183 - MANHATTAN,M,2,IPDVS CAMERA INSTALLATION / IPDVS INSTALLATIONS / NYS IPDVS NEW INSTALLATION,565000,CIP,M183,419 EAST 66 STREET,Manhattan,10065,MANHATTAN,40.763736,-73.95815,108,5,1045569,1014610007,116,MN0801,"(40.763736, -73.95815)"
P.S. 153 - BRONX,X,11,EXTERIOR MASONRY / FIRE ALARM SYSTEM REPLACEMENT / FLOOD ELIMINATION / PARAPETS / ROOFS / RTU REPLACEMENT / WINDOWS,24207000,CIP,X153,650 BAYCHESTER AVENUE,Bronx,10475,BRONX,40.872608,-73.833727,210,12,2097470,2051410150,46205,BX1004,"(40.872608, -73.833727)"
P.S. 87 - BRONX,X,11,EXISTING SCHOOL RENOVATION WORK,4415061.85,CIP,X087,4200 GRACE AVE,Bronx,10466,BRONX,40.895179,-73.846435,212,12,2123153,2050180001,428,BX1203,"(40.895179, -73.846435)"
P.S. 181 - QUEENS,Q,29,EXTERIOR MASONRY / FLOOD ELIMINATION / PLAYGROUND REDEVELOPMENT / ROOFS,9089000,CIP,Q181,148-15 230 STREET,Queens,11413,QUEENS,40.656126,-73.753207,413,31,4291453,4137180001,694,QN1306,"(40.656126, -73.753207)"
P.S. 117 - QUEENS,Q,28,FY21 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,729000,CIP,Q117,85-15 143RD STREET,Queens,11435,QUEENS,40.709463,-73.813376,408,24,4208040,4097230150,232,QN0805,"(40.709463, -73.813376)"
CITY-AS-SCHOOL - MANHATTAN,M,2,AUDITORIUM DUCTWORK / AUDITORIUM UPGRADE / EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / PATH OF TRAVEL AUDITORIUM UPGRADE / ROOFS / WINDOWS,25622000,CIP,M641,16 CLARKSON STREET,Manhattan,10014,MANHATTAN,40.729412,-74.006242,102,3,1009757,1005810054,67,MN0203,"(40.729412, -74.006242)"
ALC-JANE ADDAMS HS,X,8,IPDVS CAMERA INSTALLATION,230000,CIP,X650,900 TINTON AVENUE,Bronx,10456,BRONX,40.821675,-73.903546,203,17,2004807,2026680001,133,BX0301,"(40.821675, -73.903546)"
P.S. 131 - QUEENS,Q,29,LSP DOMESTIC WATER HEATER REPLACEMENT,176818.72,CIP,Q131,170-21 84TH AVENUE,Queens,11432,QUEENS,40.716609,-73.794666,408,24,4620845,4098750001,456,QN0805,"(40.716609, -73.794666)"
P.S. 125 - MANHATTAN,M,5,FY18 RESO A PLAYGROUNDS,2047975,CIP,M125,425 WEST 123 STREET,Manhattan,10027,MANHATTAN,40.810431,-73.955809,109,7,1059526,1019640012,20901,MN0901,"(40.810431, -73.955809)"
NEWCOMERS HIGH SCHOOL - Q,Q,30,AUDITORIUM SEAT UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT / COVID VENTILATION / PATH OF TRAVEL AUDITORIUM SEAT UPGRADE,8565200,CIP,Q450,28-01 41ST AVENUE,Queens,11101,QUEENS,40.751356,-73.937445,401,26,4004874,4004040001,3301,QN0105,"(40.751356, -73.937445)"
P.S. 399 - BROOKLYN,K,17,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT / STANDALONE DDC CONTROLS / WINDOWS,8174000,CIP,K399,2707 ALBEMARLE ROAD,Brooklyn,11226,BROOKLYN,40.648044,-73.951891,317,40,3117396,3051110001,824,BK1701,"(40.648044, -73.951891)"
P.S. 36 - BRONX,X,8,ELECTRICAL WORK FOR A/C INITIATIVE,5455.09,CIP,X036,1070 CASTLE HILL AVENUE,Bronx,10472,BRONX,40.829344,-73.850428,209,18,2026706,2038170001,78,BX0903,"(40.829344, -73.850428)"
P.S. 75 - BRONX,X,8,EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS,35816450,CIP,X075,984 FAILE STREET,Bronx,10459,BRONX,40.822719,-73.889435,202,17,2006079,2027470001,119,BX0202,"(40.822719, -73.889435)"
I.S. 291 - BROOKLYN,K,32,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / PATH OF TRAVEL NON-IDA FLOOD ELIMINATION,7134750,CIP,K291,231 PALMETTO STREET,Brooklyn,11221,BROOKLYN,40.695362,-73.915142,304,37,3076460,3033430001,433,BK0402,"(40.695362, -73.915142)"
P.S. 205 - BROOKLYN,K,20,IPDVS CAMERA INSTALLATION,438000,CIP,K205,6701 20 AVENUE,Brooklyn,11204,BROOKLYN,40.61527,-73.987149,311,43,3134749,3055710001,256,BK1101,"(40.61527, -73.987149)"
HERBERT H. LEHMAN HS - X,X,8,GAS METER ROOM COMPLIANCE PROJECT,14432,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10461,BRONX,40.840733,-73.838685,210,13,2074045,2053680001,194,BX1002,"(40.840733, -73.838685)"
