BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
1030307,43107,04/11/2024,Accident,Other Construction Related,0,1,537,WEST 59 STREET,Manhattan,1151,12,10019,40.770899,-73.98874,107,06,1011510012,147,MN0701
1080352,43234,05/09/2024,Accident,Worker Fell,0,1,450,11 AVENUE,Manhattan,708,65,10018,40.757406,-74.000787,104,03,1007080065,9903,MN0401
3429554,43159,04/19/2024,Accident,Other Construction Related,0,1,380,4 AVENUE,Brooklyn,980,77,11215,40.67268,-73.986791,306,39,3009800077,11901,BK0601
1091738,42792,02/05/2024,Accident,Other Construction Related,0,1,280,EAST HOUSTON STREET,Manhattan,397,58,10002,40.721627,-73.984307,103,02,1003977503,3002,MN0303
1087645,43559,07/26/2024,Accident,Other Construction Related,0,1,3880,9 AVENUE,Manhattan,2189,60,10034,40.864118,-73.916764,112,10,1021890060,299,MN1203
1091739,43642,08/17/2024,Accident,Worker Fell,0,1,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
4120003,42907,03/03/2024,Incident,Material Failure (Fell),0,0,189-14,CROCHERON AVENUE,Queens,5307,24,11358,40.763249,-73.792475,411,19,4053070024,1139,QN1101
3000146,43409,06/21/2024,Accident,Other Construction Related,0,1,218,FRONT STREET,Brooklyn,55,20,11201,40.702309,-73.983698,302,33,3000550020,21,BK0202
3429422,43012,03/25/2024,Accident,Worker Fell,0,1,11,OCEAN PARKWAY,Brooklyn,5322,10,11218,40.650632,-73.973191,307,40,3053220010,50401,BK0701
3327888,42886,02/28/2024,Accident,Other Construction Related,0,1,197,STAGG WALK,Brooklyn,3026,1,11206,40.709644,-73.94204,301,34,3030260001,49301,BK0104
3429828,43456,06/29/2024,Incident,Scaffold/Shoring Installations,0,0,5306,9 AVENUE,Brooklyn,5665,41,11220,40.638003,-74.003376,312,43,3056650041,10602,BK1201
3107227,42993,03/20/2024,Accident,Other Construction Related,0,1,600,KINGSTON AVENUE,Brooklyn,4811,1,11203,40.658893,-73.942458,309,40,3048110001,810,BK0902
1014251,43030,03/28/2024,Accident,Worker Fell,0,1,220,WEST 28 STREET,Manhattan,777,18,10001,40.747582,-73.994197,105,03,1007770018,95,MN0501
3429492,42704,01/15/2024,Accident,Worker Fell,0,1,346,AVENUE U,Brooklyn,7127,4,11223,40.597179,-73.971344,315,44,3071270004,396,BK1501
3816613,43413,06/22/2024,Accident,Worker Fell,0,1,97,GLENMORE AVENUE,Brooklyn,3692,1,11212,40.671537,-73.907191,316,37,3036920001,908,BK1602
3022690,43155,04/18/2024,Accident,Material Failure (Fell),0,2,504,10 STREET,Brooklyn,1018,26,11215,40.666803,-73.983148,306,39,3010180026,151,BK0602
1034830,43263,05/15/2024,Accident,Other Construction Related,0,1,718,5 AVENUE,Manhattan,1271,41,10019,40.762204,-73.974536,105,04,1012710041,104,MN0502
2815058,43018,03/26/2024,Accident,Worker Fell,0,1,1555,Story Avenue,Bronx,3653,1,10473,40.822051,-73.874919,209,18,,28,BX0901
1007020,43258,05/14/2024,Accident,Worker Fell,0,1,39,CROSBY STREET,Manhattan,473,7503,10013,40.721351,-73.99908,102,01,1004737503,45,MN0201
1091739,43597,08/06/2024,Accident,Other Construction Related,0,2,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
3251678,42646,01/03/2024,Accident,Mechanical Construction Equipment,0,1,480,KENT AVENUE,Brooklyn,2134,1,11249,40.707373,-73.968411,301,33,3021340001,547,BK0102
4624423,43424,06/24/2024,Incident,Other Construction Related,0,0,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3426198,43557,07/26/2024,Accident,Worker Fell,0,1,532,NEPTUNE AVENUE,Brooklyn,7273,7501,11224,40.579868,-73.973025,313,48,3072737501,354,BK1302
1034211,42976,03/18/2024,Accident,Material Failure (Fell),0,1,520,5 AVENUE,Manhattan,1259,35,10036,40.754421,-73.980213,105,04,1012590035,96,MN0502
1090634,42803,02/08/2024,Accident,Worker Fell,0,1,36,WEST 38 STREET,Manhattan,839,67,10018,40.751492999999996,-73.984011,105,04,1008390067,84,MN0502
3126513,43073,04/04/2024,Incident,Other Construction Related,0,0,4009,16 AVENUE,Brooklyn,5382,7,11218,40.635957,-73.980378,312,39,3053820007,478,BK1202
3002772,42757,01/29/2024,Incident,Other Construction Related,0,0,179,ATLANTIC AVENUE,Brooklyn,276,13,11201,40.690069,-73.993708,302,33,3002760013,9,BK0201
1091739,43760,09/20/2024,Incident,Material Failure (Fell),0,0,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,09,1017340002,212,MN1002
4436573,42864,02/22/2024,Accident,Worker Fell,0,1,2-29,50 AVENUE,Queens,17,1,11101,40.743502,-73.95808,402,26,4000170001,101,QN0201
3327682,43576,08/01/2024,Incident,Material Failure (Fell),0,0,1442,44 STREET,Brooklyn,5612,20,11219,40.635889,-73.986013,312,44,3056120020,232,BK1202
3058177,43720,09/09/2024,Accident,Material Failure (Fell),0,1,144,VANDERBILT AVENUE,Brooklyn,2046,84,11205,40.693625,-73.969939,302,35,3020460084,187,BK0203
3146908,42978,03/18/2024,Incident,Other Construction Related,0,0,1039,71 STREET,Brooklyn,5898,68,11228,40.626019,-74.010728,310,38,3058980068,208,BK1002
3171055,43794,10/01/2024,Notification,Other Construction Related,0,0,1277,MCDONALD AVENUE,Brooklyn,6524,55,11230,40.621982,-73.975487,312,44,3065240055,450,BK1204
1089192,43300,05/28/2024,Accident,Worker Fell,0,1,375,WEST 207 STREET,Manhattan,2188,1,10034,40.863599,-73.916537,112,10,1021880001,299,MN1203
2130712,43599,08/06/2024,Incident,Other Construction Related,0,0,779,BURKE AVENUE,Bronx,4603,26,10467,40.871394,-73.863939,212,12,2046030025,372,BX1201
1050357,43372,06/13/2024,Accident,Other Construction Related,0,1,1522,1 AVENUE,Manhattan,1559,50,10075,40.772632,-73.952462,108,05,1015590001,13603,MN0803
4619459,42690,01/12/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
3339963,43764,09/20/2024,Accident,Scaffold/Shoring Installations,0,1,275,79 STREET,Brooklyn,5968,52,11209,40.628777,-74.029833,310,47,3059680052,64,BK1001
4624423,43296,05/28/2024,Accident,Worker Fell,0,1,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
3425050,43512,07/16/2024,Accident,Worker Fell,0,1,350,Kent Ave,Brooklyn,2414,7502,11249,40.712706,-73.967694,301,33,3024147502,551,BK0102
3429214,42851,02/20/2024,Accident,Worker Fell,0,1,955,STERLING PLACE,Brooklyn,1242,70,11213,40.672347,-73.946733,308,36,3012427501,341,BK0802
1089807,43131,04/15/2024,Accident,Worker Fell,0,1,76,11 AVENUE,Manhattan,689,17,10011,40.745183,-74.008236,104,03,1006897501,9901,MN0401
3192734,42923,03/07/2024,Accident,Other Construction Related,0,1,2102,EAST 1 STREET,Brooklyn,7127,9,11223,40.59705,-73.970523,315,44,3071270009,396,BK1501
4619459,42708,01/16/2024,Accident,Worker Fell,0,1,23-15,44 ROAD,Queens,436,1,11101,40.748365,-73.944557,402,26,4004360001,1903,QN0201
1001357,43288,05/23/2024,Accident,Worker Fell,0,1,1,PACE PLAZA,Manhattan,102,1,10038,40.711909,-74.005843,101,01,1001020001,1501,MN0101
4624423,43635,08/15/2024,Accident,Worker Fell,0,1,42-06,ORCHARD STREET,Queens,265,13,11101,40.74817,-73.938805,402,26,4002650013,1902,QN0201
